Section,Item,Value
Supported Commands,GET_CURRENT_DTC,b'07' (mode 7)
Supported Commands,DTC_O2_SENSORS,b'0213' (mode 2)
Supported Commands,DTC_FUEL_STATUS,b'0203' (mode 2)
Supported Commands,DTC_COMMANDED_EQUIV_RATIO,b'0244' (mode 2)
Supported Commands,DTC_INTAKE_TEMP,b'020F' (mode 2)
Supported Commands,MONITOR_O2_B1S2,b'0602' (mode 6)
Supported Commands,ACCELERATOR_POS_D,b'0149' (mode 1)
Supported Commands,MONITOR_FUEL_SYSTEM_B1,b'0681' (mode 6)
Supported Commands,DTC_RUN_TIME,b'021F' (mode 2)
Supported Commands,CVN,b'0906' (mode 9)
Supported Commands,THROTTLE_POS,b'0111' (mode 1)
Supported Commands,DTC_OIL_TEMP,b'025C' (mode 2)
Supported Commands,ELM_VOLTAGE,b'ATRV' (mode None)
Supported Commands,OBD_COMPLIANCE,b'011C' (mode 1)
Supported Commands,ELM_VERSION,b'ATI' (mode None)
Supported Commands,DTC_CONTROL_MODULE_VOLTAGE,b'0242' (mode 2)
Supported Commands,PIDS_B,b'0120' (mode 1)
Supported Commands,DTC_O2_B1S1,b'0214' (mode 2)
Supported Commands,COOLANT_TEMP,b'0105' (mode 1)
Supported Commands,DTC_MAX_VALUES,b'024F' (mode 2)
Supported Commands,LONG_FUEL_TRIM_1,b'0107' (mode 1)
Supported Commands,SHORT_FUEL_TRIM_1,b'0106' (mode 1)
Supported Commands,OIL_TEMP,b'015C' (mode 1)
Supported Commands,MIDS_A,b'0600' (mode 6)
Supported Commands,DTC_THROTTLE_POS,b'0211' (mode 2)
Supported Commands,DTC_WARMUPS_SINCE_DTC_CLEAR,b'0230' (mode 2)
Supported Commands,DTC_COOLANT_TEMP,b'0205' (mode 2)
Supported Commands,STATUS_DRIVE_CYCLE,b'0141' (mode 1)
Supported Commands,MIDS_C,b'0640' (mode 6)
Supported Commands,MONITOR_MISFIRE_GENERAL,b'06A1' (mode 6)
Supported Commands,DTC_ACCELERATOR_POS_D,b'0249' (mode 2)
Supported Commands,CALIBRATION_ID,b'0904' (mode 9)
Supported Commands,MONITOR_VVT_B1,b'0635' (mode 6)
Supported Commands,DTC_ABSOLUTE_LOAD,b'0243' (mode 2)
Supported Commands,DTC_O2_S1_WR_VOLTAGE,b'0224' (mode 2)
Supported Commands,CONTROL_MODULE_VOLTAGE,b'0142' (mode 1)
Supported Commands,PIDS_C,b'0140' (mode 1)
Supported Commands,MIDS_D,b'0660' (mode 6)
Supported Commands,SPEED,b'010D' (mode 1)
Supported Commands,O2_SENSORS,b'0113' (mode 1)
Supported Commands,ACCELERATOR_POS_E,b'014A' (mode 1)
Supported Commands,RUN_TIME,b'011F' (mode 1)
Supported Commands,MONITOR_O2_HEATER_B1S1,b'0641' (mode 6)
Supported Commands,MIDS_B,b'0620' (mode 6)
Supported Commands,DTC_INTAKE_PRESSURE,b'020B' (mode 2)
Supported Commands,INTAKE_PRESSURE,b'010B' (mode 1)
Supported Commands,COMMANDED_EQUIV_RATIO,b'0144' (mode 1)
Mode 01 Commands,DISTANCE_SINCE_DTC_CLEAR,b'0131' (mode 1)
Mode 01 Commands,RELATIVE_THROTTLE_POS,b'0145' (mode 1)
Mode 01 Commands,AMBIANT_AIR_TEMP,b'0146' (mode 1)
Mode 01 Commands,THROTTLE_POS_B,b'0147' (mode 1)
Mode 01 Commands,WARMUPS_SINCE_DTC_CLEAR,b'0130' (mode 1)
Mode 01 Commands,PIDS_A,b'0100' (mode 1)
Mode 01 Commands,ABSOLUTE_LOAD,b'0143' (mode 1)
Mode 01 Commands,FUEL_LEVEL,b'012F' (mode 1)
Mode 01 Commands,O2_B1S1,b'0114' (mode 1)
Mode 01 Commands,BAROMETRIC_PRESSURE,b'0133' (mode 1)
Mode 01 Commands,DISTANCE_W_MIL,b'0121' (mode 1)
Mode 01 Commands,FUEL_STATUS,b'0103' (mode 1)
Mode 01 Commands,O2_B1S2,b'0115' (mode 1)
Mode 01 Commands,THROTTLE_ACTUATOR,b'014C' (mode 1)
Mode 01 Commands,ENGINE_LOAD,b'0104' (mode 1)
Mode 01 Commands,O2_S1_WR_VOLTAGE,b'0124' (mode 1)
Mode 01 Commands,STATUS,b'0101' (mode 1)
Mode 01 Commands,EVAPORATIVE_PURGE,b'012E' (mode 1)
Mode 01 Commands,TIMING_ADVANCE,b'010E' (mode 1)
Mode 01 Commands,RPM,b'010C' (mode 1)
Mode 01 Commands,MAX_VALUES,b'014F' (mode 1)
Mode 01 Commands,INTAKE_TEMP,b'010F' (mode 1)
Mode 01 Commands,ACCELERATOR_POS_D,b'0149' (mode 1)
Mode 01 Commands,THROTTLE_POS,b'0111' (mode 1)
Mode 01 Commands,OBD_COMPLIANCE,b'011C' (mode 1)
Mode 01 Commands,PIDS_B,b'0120' (mode 1)
Mode 01 Commands,COOLANT_TEMP,b'0105' (mode 1)
Mode 01 Commands,LONG_FUEL_TRIM_1,b'0107' (mode 1)
Mode 01 Commands,SHORT_FUEL_TRIM_1,b'0106' (mode 1)
Mode 01 Commands,OIL_TEMP,b'015C' (mode 1)
Mode 01 Commands,STATUS_DRIVE_CYCLE,b'0141' (mode 1)
Mode 01 Commands,CONTROL_MODULE_VOLTAGE,b'0142' (mode 1)
Mode 01 Commands,PIDS_C,b'0140' (mode 1)
Mode 01 Commands,SPEED,b'010D' (mode 1)
Mode 01 Commands,O2_SENSORS,b'0113' (mode 1)
Mode 01 Commands,ACCELERATOR_POS_E,b'014A' (mode 1)
Mode 01 Commands,RUN_TIME,b'011F' (mode 1)
Mode 01 Commands,INTAKE_PRESSURE,b'010B' (mode 1)
Mode 01 Commands,COMMANDED_EQUIV_RATIO,b'0144' (mode 1)
Mode 03 DTC,Welkom,DTC codes
Mode 03 DTC,Geen DTC codes gevonden,
